w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.1,1.0,1.0,0,0.62,0.44,0.625,0.0050000000000000044,2.903341991135295,2.1449121921148464
0.0,0.1,1.0,1.0,1,0.745,0.76,0.78,0.03500000000000003,3.101263893684327,1.7842731869261086
0.0,0.1,1.0,1.0,2,0.605,0.685,0.71,0.10499999999999998,3.1406145526017197,2.0110483033261386
0.0,0.1,1.0,1.0,3,0.6,0.525,0.67,0.07000000000000006,3.12558808751955,1.863831086264754
0.0,0.1,1.0,1.0,4,0.69,0.645,0.77,0.08000000000000007,3.4397999042021774,1.938254536742622
0.0,0.1,1.0,1.0,5,0.63,0.625,0.69,0.05999999999999994,2.3935105978375897,1.2100869414009192
0.0,0.1,1.0,1.0,6,0.62,0.6,0.625,0.0050000000000000044,2.3473223666290473,0.7872983070109703
0.0,0.1,1.0,1.0,7,0.66,0.65,0.655,-0.0050000000000000044,2.400471985089179,0.8811965072524203
0.0,0.1,1.0,1.0,8,0.47,0.57,0.605,0.135,2.9417573970066484,1.6451025936572574
0.0,0.1,1.0,1.0,9,0.68,0.71,0.73,0.04999999999999993,2.6116489848351487,1.426948473946023
0.0,0.1,1.0,1.5,0,0.695,0.725,0.72,0.025000000000000022,2.4239243879259376,1.0610594534927156
0.0,0.1,1.0,1.5,1,0.735,0.785,0.805,0.07000000000000006,2.679042577187925,1.4615158693741863
0.0,0.1,1.0,1.5,2,0.62,0.7,0.705,0.08499999999999996,2.8281353234792714,1.8442206723281442
0.0,0.1,1.0,1.5,3,0.595,0.56,0.675,0.08000000000000007,2.6876078983169505,1.7370495585453878
0.0,0.1,1.0,1.5,4,0.72,0.745,0.765,0.04500000000000004,2.6849340034498685,1.3102300995490703
0.0,0.1,1.0,1.5,5,0.65,0.68,0.715,0.06499999999999995,2.076296564506754,1.0097287528362866
0.0,0.1,1.0,1.5,6,0.65,0.63,0.63,-0.020000000000000018,1.8909709953889793,0.6517523840876231
0.0,0.1,1.0,1.5,7,0.71,0.7,0.705,-0.0050000000000000044,2.061677198583033,0.8620282281039698
0.0,0.1,1.0,1.5,8,0.54,0.655,0.64,0.09999999999999998,2.534591414271345,1.4076602612516596
0.0,0.1,1.0,1.5,9,0.73,0.725,0.75,0.020000000000000018,2.1475307247705313,1.1568338718023434
0.0,0.1,1.0,2.0,0,0.705,0.745,0.76,0.05500000000000005,1.872624251171549,1.0519845261962293
0.0,0.1,1.0,2.0,1,0.775,0.83,0.825,0.04999999999999993,2.319117407380204,1.3248694920839676
0.0,0.1,1.0,2.0,2,0.62,0.725,0.69,0.06999999999999995,2.5756264116016543,1.700894978192488
0.0,0.1,1.0,2.0,3,0.62,0.61,0.675,0.05500000000000005,2.419468554698435,1.5851219195096287
0.0,0.1,1.0,2.0,4,0.77,0.795,0.79,0.020000000000000018,2.22454420823844,1.0185830707030876
0.0,0.1,1.0,2.0,5,0.67,0.67,0.72,0.04999999999999993,1.7579703037979426,0.7920978333961851
0.0,0.1,1.0,2.0,6,0.625,0.62,0.64,0.015000000000000013,1.5780762303982436,0.5579470071497862
0.0,0.1,1.0,2.0,7,0.72,0.69,0.72,0.0,1.7365647492551506,0.7442237707116328
0.0,0.1,1.0,2.0,8,0.595,0.66,0.665,0.07000000000000006,2.19835846012873,1.1986751646591958
0.0,0.1,1.0,2.0,9,0.74,0.73,0.755,0.015000000000000013,1.9090847967219542,1.052457717953332
0.0,0.1,1.0,3.0,0,0.71,0.765,0.75,0.040000000000000036,1.458745430151937,0.8889549225856916
0.0,0.1,1.0,3.0,1,0.775,0.83,0.835,0.05999999999999994,1.772567067167531,1.0572122178110042
0.0,0.1,1.0,3.0,2,0.64,0.725,0.705,0.06499999999999995,2.1795506762769437,1.4305831990328222
0.0,0.1,1.0,3.0,3,0.62,0.64,0.685,0.06500000000000006,1.9337728799847045,1.2034868324134549
0.0,0.1,1.0,3.0,4,0.75,0.83,0.805,0.05500000000000005,1.8106258011318366,0.8978776501183259
0.0,0.1,1.0,3.0,5,0.665,0.665,0.655,-0.010000000000000009,1.36654429899553,0.555000597209911
0.0,0.1,1.0,3.0,6,0.625,0.63,0.625,0.0,1.1424124139831988,0.4050059184685647
0.0,0.1,1.0,3.0,7,0.725,0.715,0.73,0.0050000000000000044,1.3197349045631381,0.5833976186363675
0.0,0.1,1.0,3.0,8,0.605,0.635,0.66,0.05500000000000005,1.524852586894118,0.7810967948874201
0.0,0.1,1.0,3.0,9,0.72,0.73,0.75,0.030000000000000027,1.5198072122594766,0.8400585997321315
0.0,0.1,1.0,5.0,0,0.735,0.755,0.77,0.03500000000000003,0.9698749911463671,0.5978477134739301
0.0,0.1,1.0,5.0,1,0.805,0.84,0.84,0.03499999999999992,1.1903462320741653,0.7335394497134979
0.0,0.1,1.0,5.0,2,0.71,0.735,0.71,0.0,1.561350739645457,0.9440057825721937
0.0,0.1,1.0,5.0,3,0.655,0.685,0.685,0.030000000000000027,1.217735227521427,0.6295922559474184
0.0,0.1,1.0,5.0,4,0.78,0.835,0.835,0.05499999999999994,1.1321504108921203,0.5519377052351282
0.0,0.1,1.0,5.0,5,0.66,0.675,0.665,0.0050000000000000044,0.9548825491385392,0.3682674933159348
0.0,0.1,1.0,5.0,6,0.64,0.635,0.635,-0.0050000000000000044,0.7383067225635025,0.2628998686909518
0.0,0.1,1.0,5.0,7,0.72,0.735,0.735,0.015000000000000013,0.8680084925338332,0.3797839925863428
0.0,0.1,1.0,5.0,8,0.625,0.64,0.645,0.020000000000000018,0.815656151328113,0.34911408298866947
0.0,0.1,1.0,5.0,9,0.745,0.745,0.735,-0.010000000000000009,0.9882606230460208,0.5173517760757117
0.0,0.2,1.0,1.0,0,0.705,0.705,0.695,-0.010000000000000009,2.8616812895586725,1.5652107923480296
0.0,0.2,1.0,1.0,1,0.735,0.785,0.795,0.06000000000000005,3.166635558858376,1.6992169947038034
